Product ID,Product Name,Line Item Quantity,Product SKU,Product Categories
7940,ขนมเปี๊ยะใหญ่ ซอย8 (800 กรัม),5,DTF0940,ขนม
7942,น้ำปู (150 กรัม),20,FIF0170,เครื่องปรุง
7966,แหนมดอนเมือง กม.26 (130 กรัม),15,EF0300,อิสาน
7990,ทุเรียนหมอนทองลูก (10000 กรัม),11,FT0480,ผลไม้
8014,ดักแด้สดฟรีซ ถุงเล็ก (500 กรัม),1,EF0055,อิสาน
8015,แม่เป้งสดฟรีซ ถุงเล็ก (500 กรัม),4,EF0035,อิสาน
8017,ปลาดุกแดดเดียว ถุงเล็ก (500 กรัม),14,IF0655,วัตถุดิบ
8020,ปลาร้าแม่เหรียญ (350 กรัม),6,FIF0410,เครื่องปรุง
8022,เส้นบะหมี่ไข่ ตราไก่ (เส้นกลม) (500 กรัม),6,IF0840,วัตถุดิบ
8023,เส้นใหญ่ตราดอกบัว ถุงเล็ก (500 กรัม),11,IF0895,วัตถุดิบ
8027,ปลาทูหอม (500 กรัม),5,IF0640,วัตถุดิบ
8031,กล้วยน้ำว้า (650 กรัม),5,FT0230,ผลไม้
8043,ขนมปังเนยโสด (155 กรัม),38,DTF1420,ขนม
8052,กระเพาะปลาอุดร (110 กรัม),14,RF1340,อาหารพร้อมทาน
8053,CP เลือดหมูก้อน (400 กรัม),9,IF0540,วัตถุดิบ
8103,ปลาร้านางฟ้า (400 กรัม),25,FIF0160,เครื่องปรุง
8117,แหนมตุ้มจิ๋ว กม.26 (60 กรัม),10,EF0400,อิสาน
8125,ปลาร้าแม่อีพิม (400 กรัม),25,FIF0120,เครื่องปรุง
8216,ทุเรียนภูเขาไฟ (500 กรัม),35,FT0035,ผลไม้
8265,ขนมบ้าบิ่น นันทวรรณ (240 กรัม),9,DTF0700,ขนม
8274,ปังทุเรียน (450 กรัม),7,DTF1430,ขนม
8302,ยูโรคัดตาร์ดเค้ก (220 กรัม),10,DTF0930,ขนม
8352,แฮกึ๋น กุ้งล้วน 5 เส้น นภาพร (1000 กรัม),10,RF1220,ลูกชิ้นไส้กรอก
8423,ดอกสะเดาแช่แข็ง (300g),10,VB1463,ผัก
